"mu","name","size","method","type1error"
0,"alpha-Linolenic acid metabolism",22,"topologyGSA",NA
0,"Sphingolipid metabolism",30,"topologyGSA",NA
0,"Pyruvate metabolism",36,"topologyGSA",NA
0,"Glyoxylate and dicarboxylate metabolism",24,"topologyGSA",NA
0,"Propanoate metabolism",30,"topologyGSA",NA
0,"Butanoate metabolism",23,"topologyGSA",NA
0,"Thiamine metabolism",10,"topologyGSA",NA
0,"Riboflavin metabolism",8,"topologyGSA",NA
0,"Vitamin B6 metabolism",5,"topologyGSA",NA
0,"Nicotinate and nicotinamide metabolism",20,"topologyGSA",NA
0,"Retinol metabolism",50,"topologyGSA",NA
0,"Porphyrin and chlorophyll metabolism",29,"topologyGSA",NA
0,"Sulfur metabolism",8,"topologyGSA",NA
0,"Drug metabolism - cytochrome P450",55,"topologyGSA",NA
0,"Drug metabolism - other enzymes",63,"topologyGSA",NA
0,"Cholesterol metabolism",29,"topologyGSA",NA
0,"Central carbon metabolism in cancer",55,"topologyGSA",0.005
0,"Choline metabolism in cancer",74,"topologyGSA",0
0,"MAPK signaling pathway",271,"topologyGSA",NA
0,"ErbB signaling pathway",78,"topologyGSA",NA
0,"Ras signaling pathway",208,"topologyGSA",NA
0,"Rap1 signaling pathway",185,"topologyGSA",NA
0,"Calcium signaling pathway",160,"topologyGSA",NA
0,"cGMP-PKG signaling pathway",137,"topologyGSA",NA
0,"cAMP signaling pathway",182,"topologyGSA",NA
0,"Chemokine signaling pathway",168,"topologyGSA",NA
0,"NF-kappa B signaling pathway",68,"topologyGSA",NA
0,"HIF-1 signaling pathway",89,"topologyGSA",NA
0,"FoxO signaling pathway",114,"topologyGSA",NA
0,"Phosphatidylinositol signaling system",69,"topologyGSA",NA
0,"Sphingolipid signaling pathway",87,"topologyGSA",0.005
0,"Phospholipase D signaling pathway",101,"topologyGSA",NA
0,"p53 signaling pathway",66,"topologyGSA",NA
0,"mTOR signaling pathway",121,"topologyGSA",0.01
0,"PI3K-Akt signaling pathway",310,"topologyGSA",NA
0,"AMPK signaling pathway",86,"topologyGSA",NA
0,"Adrenergic signaling in cardiomyocytes",136,"topologyGSA",0.01
0,"Wnt signaling pathway",133,"topologyGSA",NA
0,"Notch signaling pathway",45,"topologyGSA",NA
0,"Hedgehog signaling pathway",42,"topologyGSA",NA
0,"TGF-beta signaling pathway",70,"topologyGSA",NA
0,"VEGF signaling pathway",57,"topologyGSA",0.01
0,"Apelin signaling pathway",121,"topologyGSA",0.01
0,"Hippo signaling pathway",140,"topologyGSA",NA
0,"Hippo signaling pathway - multiple species",23,"topologyGSA",NA
0,"Toll-like receptor signaling pathway",81,"topologyGSA",NA
0,"NOD-like receptor signaling pathway",121,"topologyGSA",NA
0,"RIG-I-like receptor signaling pathway",51,"topologyGSA",NA
0,"C-type lectin receptor signaling pathway",102,"topologyGSA",NA
0,"JAK-STAT signaling pathway",135,"topologyGSA",NA
0,"IL-17 signaling pathway",12,"topologyGSA",0.01
0,"T cell receptor signaling pathway",92,"topologyGSA",NA
0,"B cell receptor signaling pathway",63,"topologyGSA",NA
0,"Fc epsilon RI signaling pathway",56,"topologyGSA",NA
0,"TNF signaling pathway",69,"topologyGSA",0.005
0,"Neurotrophin signaling pathway",110,"topologyGSA",NA
0,"Retrograde endocannabinoid signaling",94,"topologyGSA",0.005
0,"Insulin signaling pathway",122,"topologyGSA",NA
0,"GnRH signaling pathway",82,"topologyGSA",0.015
0,"Estrogen signaling pathway",115,"topologyGSA",NA
0,"Prolactin signaling pathway",69,"topologyGSA",NA
0,"Thyroid hormone signaling pathway",103,"topologyGSA",NA
0,"Adipocytokine signaling pathway",57,"topologyGSA",NA
0,"Oxytocin signaling pathway",139,"topologyGSA",0.01
0,"Glucagon signaling pathway",73,"topologyGSA",NA
0,"Relaxin signaling pathway",121,"topologyGSA",NA
0,"AGE-RAGE signaling pathway in diabetic complications",84,"topologyGSA",NA
0,"Epithelial cell signaling in Helicobacter pylori infection",33,"topologyGSA",NA
0,"Fatty acid biosynthesis",12,"topologyGSA",NA
0,"Steroid biosynthesis",15,"topologyGSA",NA
0,"Primary bile acid biosynthesis",17,"topologyGSA",NA
0,"Ubiquinone and other terpenoid-quinone biosynthesis",10,"topologyGSA",NA
0,"Steroid hormone biosynthesis",44,"topologyGSA",NA
0,"Arginine biosynthesis",18,"topologyGSA",NA
0,"Phenylalanine, tyrosine and tryptophan biosynthesis",5,"topologyGSA",NA
0,"N-Glycan biosynthesis",44,"topologyGSA",NA
0,"Mucin type O-glycan biosynthesis",23,"topologyGSA",NA
0,"Mannose type O-glycan biosynthesis",13,"topologyGSA",0
0,"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",7,"topologyGSA",NA
0,"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",5,"topologyGSA",NA
0,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",22,"topologyGSA",NA
0,"Glycosphingolipid biosynthesis - lacto and neolacto series",26,"topologyGSA",NA
0,"Glycosphingolipid biosynthesis - globo and isoglobo series",13,"topologyGSA",NA
0,"Glycosphingolipid biosynthesis - ganglio series",15,"topologyGSA",NA
0,"Pantothenate and CoA biosynthesis",17,"topologyGSA",NA
0,"Folate biosynthesis",23,"topologyGSA",NA
0,"Terpenoid backbone biosynthesis",20,"topologyGSA",NA
0,"Aminoacyl-tRNA biosynthesis",11,"topologyGSA",NA
0,"Fructose and mannose metabolism",28,"PE.noCut",NA
0,"Galactose metabolism",24,"PE.noCut",0.01
0,"Ascorbate and aldarate metabolism",13,"PE.noCut",0.04
0,"Purine metabolism",141,"PE.noCut",NA
0,"Caffeine metabolism",5,"PE.noCut",0.01
0,"Pyrimidine metabolism",84,"PE.noCut",NA
0,"Alanine, aspartate and glutamate metabolism",33,"PE.noCut",NA
0,"Glycine, serine and threonine metabolism",32,"PE.noCut",0.015
0,"Cysteine and methionine metabolism",39,"PE.noCut",NA
0,"Arginine and proline metabolism",37,"PE.noCut",0
0,"Histidine metabolism",17,"PE.noCut",0.005
0,"Tyrosine metabolism",32,"PE.noCut",0.025
0,"Phenylalanine metabolism",14,"PE.noCut",NA
0,"Tryptophan metabolism",30,"PE.noCut",NA
0,"beta-Alanine metabolism",29,"PE.noCut",NA
0,"Taurine and hypotaurine metabolism",8,"PE.noCut",0
0,"Selenocompound metabolism",11,"PE.noCut",NA
0,"Glutathione metabolism",42,"PE.noCut",NA
0,"Starch and sucrose metabolism",30,"PE.noCut",NA
0,"Amino sugar and nucleotide sugar metabolism",42,"PE.noCut",NA
0,"Glycerolipid metabolism",47,"PE.noCut",0
0,"Inositol phosphate metabolism",63,"PE.noCut",NA
0,"Glycerophospholipid metabolism",70,"PE.noCut",0
0,"Ether lipid metabolism",36,"PE.noCut",0
0,"Arachidonic acid metabolism",53,"PE.noCut",0
0,"Linoleic acid metabolism",26,"PE.noCut",NA
0,"alpha-Linolenic acid metabolism",22,"PE.noCut",NA
0,"Sphingolipid metabolism",30,"PE.noCut",0
0,"Pyruvate metabolism",36,"PE.noCut",NA
0,"Glyoxylate and dicarboxylate metabolism",24,"PE.noCut",NA
0,"Propanoate metabolism",30,"PE.noCut",NA
0,"Butanoate metabolism",23,"PE.noCut",NA
0,"Thiamine metabolism",10,"PE.noCut",NA
0,"Riboflavin metabolism",8,"PE.noCut",NA
0,"Vitamin B6 metabolism",5,"PE.noCut",NA
0,"Nicotinate and nicotinamide metabolism",20,"PE.noCut",NA
0,"Retinol metabolism",50,"PE.noCut",0.01
0,"Porphyrin and chlorophyll metabolism",29,"PE.noCut",NA
0,"Sulfur metabolism",8,"PE.noCut",NA
0,"Drug metabolism - cytochrome P450",55,"PE.noCut",NA
0,"Drug metabolism - other enzymes",63,"PE.noCut",NA
0,"Cholesterol metabolism",29,"PE.noCut",0.005
0,"Central carbon metabolism in cancer",55,"PE.noCut",0.03
0,"Choline metabolism in cancer",74,"PE.noCut",0.025
0,"MAPK signaling pathway",271,"PE.noCut",0.06
0,"ErbB signaling pathway",78,"PE.noCut",0.02
0,"Ras signaling pathway",208,"PE.noCut",0.065
0,"Rap1 signaling pathway",185,"PE.noCut",NA
0,"Calcium signaling pathway",160,"PE.noCut",NA
0,"cGMP-PKG signaling pathway",137,"PE.noCut",NA
0,"cAMP signaling pathway",182,"PE.noCut",0.015
0,"Chemokine signaling pathway",168,"PE.noCut",NA
0,"NF-kappa B signaling pathway",68,"PE.noCut",0.13
0,"HIF-1 signaling pathway",89,"PE.noCut",0.02
0,"FoxO signaling pathway",114,"PE.noCut",0.02
0,"Phosphatidylinositol signaling system",69,"PE.noCut",NA
0,"Sphingolipid signaling pathway",87,"PE.noCut",0.04
0,"Phospholipase D signaling pathway",101,"PE.noCut",0.06
0,"p53 signaling pathway",66,"PE.noCut",NA
0,"mTOR signaling pathway",121,"PE.noCut",0.02
0,"PI3K-Akt signaling pathway",310,"PE.noCut",NA
0,"AMPK signaling pathway",86,"PE.noCut",0.025
0,"Adrenergic signaling in cardiomyocytes",136,"PE.noCut",0.01
0,"Wnt signaling pathway",133,"PE.noCut",0.015
0,"Notch signaling pathway",45,"PE.noCut",0.025
0,"Hedgehog signaling pathway",42,"PE.noCut",0.01
0,"TGF-beta signaling pathway",70,"PE.noCut",0.03
0,"VEGF signaling pathway",57,"PE.noCut",0.02
0,"Apelin signaling pathway",121,"PE.noCut",0.04
0,"Hippo signaling pathway",140,"PE.noCut",0.02
0,"Hippo signaling pathway - multiple species",23,"PE.noCut",0
0,"Toll-like receptor signaling pathway",81,"PE.noCut",0.12
0,"NOD-like receptor signaling pathway",121,"PE.noCut",0.09
0,"RIG-I-like receptor signaling pathway",51,"PE.noCut",0.05
0,"C-type lectin receptor signaling pathway",102,"PE.noCut",0.11
0,"JAK-STAT signaling pathway",135,"PE.noCut",0.095
0,"IL-17 signaling pathway",12,"PE.noCut",0.025
0,"T cell receptor signaling pathway",92,"PE.noCut",0.17
0,"B cell receptor signaling pathway",63,"PE.noCut",0.075
0,"Fc epsilon RI signaling pathway",56,"PE.noCut",NA
0,"TNF signaling pathway",69,"PE.noCut",0.055
0,"Neurotrophin signaling pathway",110,"PE.noCut",0.03
0,"Retrograde endocannabinoid signaling",94,"PE.noCut",0.01
0,"Insulin signaling pathway",122,"PE.noCut",0.025
0,"GnRH signaling pathway",82,"PE.noCut",0.01
0,"Estrogen signaling pathway",115,"PE.noCut",0.035
0,"Prolactin signaling pathway",69,"PE.noCut",0.04
0,"Thyroid hormone signaling pathway",103,"PE.noCut",0.01
0,"Adipocytokine signaling pathway",57,"PE.noCut",0.03
0,"Oxytocin signaling pathway",139,"PE.noCut",0.015
0,"Glucagon signaling pathway",73,"PE.noCut",0.005
0,"Relaxin signaling pathway",121,"PE.noCut",0.055
0,"AGE-RAGE signaling pathway in diabetic complications",84,"PE.noCut",0.06
0,"Epithelial cell signaling in Helicobacter pylori infection",33,"PE.noCut",0.01
0,"Fatty acid biosynthesis",12,"PE.noCut",NA
0,"Steroid biosynthesis",15,"PE.noCut",0.005
0,"Primary bile acid biosynthesis",17,"PE.noCut",NA
0,"Ubiquinone and other terpenoid-quinone biosynthesis",10,"PE.noCut",NA
0,"Steroid hormone biosynthesis",44,"PE.noCut",0.04
0,"Arginine biosynthesis",18,"PE.noCut",NA
0,"Phenylalanine, tyrosine and tryptophan biosynthesis",5,"PE.noCut",NA
0,"N-Glycan biosynthesis",44,"PE.noCut",NA
0,"Mucin type O-glycan biosynthesis",23,"PE.noCut",0.005
0,"Mannose type O-glycan biosynthesis",13,"PE.noCut",0
0,"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",7,"PE.noCut",NA
0,"Glycosaminoglycan biosynthesis - heparan sulfate / heparin",5,"PE.noCut",0
0,"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",22,"PE.noCut",0.05
0,"Glycosphingolipid biosynthesis - lacto and neolacto series",26,"PE.noCut",NA
0,"Glycosphingolipid biosynthesis - globo and isoglobo series",13,"PE.noCut",0.005
0,"Glycosphingolipid biosynthesis - ganglio series",15,"PE.noCut",0.015
0,"Pantothenate and CoA biosynthesis",17,"PE.noCut",NA
0,"Folate biosynthesis",23,"PE.noCut",NA
0,"Terpenoid backbone biosynthesis",20,"PE.noCut",0.05
0,"Aminoacyl-tRNA biosynthesis",11,"PE.noCut",NA
